Year,Month,Day,Hour,DNI
2024,1,31,0,0
2024,1,31,1,0
2024,1,31,2,0
2024,1,31,3,0
2024,1,31,4,0
2024,1,31,5,0
2024,1,31,6,0
2024,1,31,7,37.62
2024,1,31,8,326.71
2024,1,31,9,527.43
2024,1,31,10,628.26
2024,1,31,11,650.09
2024,1,31,12,802.49
2024,1,31,13,596.05
2024,1,31,14,457.17
2024,1,31,15,315.94
2024,1,31,16,99.17
2024,1,31,17,0
2024,1,31,18,0
2024,1,31,19,0
2024,1,31,20,0
2024,1,31,21,0
2024,1,31,22,0
2024,1,31,23,0
2024,2,1,0,0
2024,2,1,1,0
2024,2,1,2,0
2024,2,1,3,0
2024,2,1,4,0
2024,2,1,5,0
2024,2,1,6,0
2024,2,1,7,2.11
2024,2,1,8,91.03
2024,2,1,9,210.82
2024,2,1,10,316.24
2024,2,1,11,525.51
2024,2,1,12,37.44
2024,2,1,13,49.5
2024,2,1,14,89.19
2024,2,1,15,128.5
2024,2,1,16,63.68
2024,2,1,17,0
2024,2,1,18,0
2024,2,1,19,0
2024,2,1,20,0
2024,2,1,21,0
2024,2,1,22,0
2024,2,1,23,0
2024,2,2,0,0
2024,2,2,1,0
2024,2,2,2,0
2024,2,2,3,0
2024,2,2,4,0
2024,2,2,5,0
2024,2,2,6,0
2024,2,2,7,20.14
2024,2,2,8,113.21
2024,2,2,9,152.41
2024,2,2,10,186.28
2024,2,2,11,191.98
2024,2,2,12,115.26
2024,2,2,13,11.44
2024,2,2,14,16.75
2024,2,2,15,14.05
2024,2,2,16,9.86
2024,2,2,17,0
2024,2,2,18,0
2024,2,2,19,0
2024,2,2,20,0
2024,2,2,21,0
2024,2,2,22,0
2024,2,2,23,0
2024,2,3,0,0
2024,2,3,1,0
2024,2,3,2,0
2024,2,3,3,0
2024,2,3,4,0
2024,2,3,5,0
2024,2,3,6,0
2024,2,3,7,21.94
2024,2,3,8,200.72
2024,2,3,9,411.55
2024,2,3,10,601.96
2024,2,3,11,818.37
2024,2,3,12,884.73
2024,2,3,13,900.3
2024,2,3,14,848.63
2024,2,3,15,753.44
2024,2,3,16,474.94
2024,2,3,17,0
2024,2,3,18,0
2024,2,3,19,0
2024,2,3,20,0
2024,2,3,21,0
2024,2,3,22,0
2024,2,3,23,0
2024,2,4,0,0
2024,2,4,1,0
2024,2,4,2,0
2024,2,4,3,0
2024,2,4,4,0
2024,2,4,5,0
2024,2,4,6,0
2024,2,4,7,0
2024,2,4,8,25.84
2024,2,4,9,42.07
2024,2,4,10,46.56
2024,2,4,11,99.92
2024,2,4,12,333.04
2024,2,4,13,395.89
2024,2,4,14,393.88
2024,2,4,15,357.18
2024,2,4,16,207.53
2024,2,4,17,0
2024,2,4,18,0
2024,2,4,19,0
2024,2,4,20,0
2024,2,4,21,0
2024,2,4,22,0
2024,2,4,23,0
2024,2,5,0,0
2024,2,5,1,0
2024,2,5,2,0
2024,2,5,3,0
2024,2,5,4,0
2024,2,5,5,0
2024,2,5,6,0
2024,2,5,7,34.03
2024,2,5,8,167.04
2024,2,5,9,351.45
2024,2,5,10,432.71
2024,2,5,11,376.57
2024,2,5,12,339.03
2024,2,5,13,263.12
2024,2,5,14,261.55
2024,2,5,15,216.48
2024,2,5,16,134.33
2024,2,5,17,0
2024,2,5,18,0
2024,2,5,19,0
2024,2,5,20,0
2024,2,5,21,0
2024,2,5,22,0
2024,2,5,23,0
2024,2,6,0,0
2024,2,6,1,0
2024,2,6,2,0
2024,2,6,3,0
2024,2,6,4,0
2024,2,6,5,0
2024,2,6,6,0
2024,2,6,7,48.03
2024,2,6,8,384.66
2024,2,6,9,576.28
2024,2,6,10,757.6
2024,2,6,11,710.5
2024,2,6,12,748.56
2024,2,6,13,749.52
2024,2,6,14,705.82
2024,2,6,15,605.63
2024,2,6,16,349.55
2024,2,6,17,9.78
2024,2,6,18,0
2024,2,6,19,0
2024,2,6,20,0
2024,2,6,21,0
2024,2,6,22,0
2024,2,6,23,0
2024,2,7,0,0
2024,2,7,1,0
2024,2,7,2,0
2024,2,7,3,0
2024,2,7,4,0
2024,2,7,5,0
2024,2,7,6,0
2024,2,7,7,38.59
2024,2,7,8,275.43
2024,2,7,9,517.68
2024,2,7,10,631.29
2024,2,7,11,760.67
2024,2,7,12,842.24
2024,2,7,13,823.4
2024,2,7,14,756.49
2024,2,7,15,618.46
2024,2,7,16,362.79
2024,2,7,17,12.99
2024,2,7,18,0
2024,2,7,19,0
2024,2,7,20,0
2024,2,7,21,0
2024,2,7,22,0
2024,2,7,23,0
2024,2,8,0,0
2024,2,8,1,0
2024,2,8,2,0
2024,2,8,3,0
2024,2,8,4,0
2024,2,8,5,0
2024,2,8,6,0
2024,2,8,7,20.78
2024,2,8,8,294.98
2024,2,8,9,466.81
2024,2,8,10,575.21
2024,2,8,11,619.4
2024,2,8,12,584.42
2024,2,8,13,815.88
2024,2,8,14,679.99
2024,2,8,15,433.75
2024,2,8,16,225.59
2024,2,8,17,4.85
2024,2,8,18,0
2024,2,8,19,0
2024,2,8,20,0
2024,2,8,21,0
2024,2,8,22,0
2024,2,8,23,0
2024,2,9,0,0
2024,2,9,1,0
2024,2,9,2,0
2024,2,9,3,0
2024,2,9,4,0
2024,2,9,5,0
2024,2,9,6,0
2024,2,9,7,78.75
2024,2,9,8,487.06
2024,2,9,9,631.01
2024,2,9,10,825.91
2024,2,9,11,814.09
2024,2,9,12,901.57
2024,2,9,13,906.08
2024,2,9,14,860.64
2024,2,9,15,778.43
2024,2,9,16,517.87
2024,2,9,17,43.76
2024,2,9,18,0
2024,2,9,19,0
2024,2,9,20,0
2024,2,9,21,0
2024,2,9,22,0
2024,2,9,23,0
2024,2,10,0,0
2024,2,10,1,0
2024,2,10,2,0
2024,2,10,3,0
2024,2,10,4,0
2024,2,10,5,0
2024,2,10,6,0
2024,2,10,7,127.67
2024,2,10,8,399.99
2024,2,10,9,837.09
2024,2,10,10,713.33
2024,2,10,11,790.15
2024,2,10,12,739.21
2024,2,10,13,867.22
2024,2,10,14,772.32
2024,2,10,15,713.69
2024,2,10,16,522.68
2024,2,10,17,52.53
2024,2,10,18,0
2024,2,10,19,0
2024,2,10,20,0
2024,2,10,21,0
2024,2,10,22,0
2024,2,10,23,0
2024,2,11,0,0
2024,2,11,1,0
2024,2,11,2,0
2024,2,11,3,0
2024,2,11,4,0
2024,2,11,5,0
2024,2,11,6,0
2024,2,11,7,128.67
2024,2,11,8,486.24
2024,2,11,9,665.73
2024,2,11,10,866.6
2024,2,11,11,820.73
2024,2,11,12,923.06
2024,2,11,13,911.22
2024,2,11,14,859.9
2024,2,11,15,772.46
2024,2,11,16,501.08
2024,2,11,17,31.76
2024,2,11,18,0
2024,2,11,19,0
2024,2,11,20,0
2024,2,11,21,0
2024,2,11,22,0
2024,2,11,23,0
2024,2,12,0,0
2024,2,12,1,0
2024,2,12,2,0
2024,2,12,3,0
2024,2,12,4,0
2024,2,12,5,0
2024,2,12,6,0
2024,2,12,7,70.51
2024,2,12,8,470.14
2024,2,12,9,666.76
2024,2,12,10,783.23
2024,2,12,11,842.78
2024,2,12,12,856.95
2024,2,12,13,819.08
2024,2,12,14,764.68
2024,2,12,15,650.25
2024,2,12,16,418.19
2024,2,12,17,25.42
2024,2,12,18,0
2024,2,12,19,0
2024,2,12,20,0
2024,2,12,21,0
2024,2,12,22,0
2024,2,12,23,0
2024,2,13,0,0
2024,2,13,1,0
2024,2,13,2,0
2024,2,13,3,0
2024,2,13,4,0
2024,2,13,5,0
2024,2,13,6,0
2024,2,13,7,4.23
2024,2,13,8,10.84
2024,2,13,9,22.28
2024,2,13,10,50.4
2024,2,13,11,39.2
2024,2,13,12,38.97
2024,2,13,13,29.01
2024,2,13,14,41.56
2024,2,13,15,54.58
2024,2,13,16,45.61
2024,2,13,17,6.88
2024,2,13,18,0
2024,2,13,19,0
2024,2,13,20,0
2024,2,13,21,0
2024,2,13,22,0
2024,2,13,23,0
2024,2,14,0,0
2024,2,14,1,0
2024,2,14,2,0
2024,2,14,3,0
2024,2,14,4,0
2024,2,14,5,0
2024,2,14,6,0
2024,2,14,7,121.36
2024,2,14,8,560.56
2024,2,14,9,664.99
2024,2,14,10,882.76
2024,2,14,11,928.97
2024,2,14,12,936.18
2024,2,14,13,908.37
2024,2,14,14,858.18
2024,2,14,15,733.71
2024,2,14,16,483.94
2024,2,14,17,38.32
2024,2,14,18,0
2024,2,14,19,0
2024,2,14,20,0
2024,2,14,21,0
2024,2,14,22,0
2024,2,14,23,0
2024,2,15,0,0
2024,2,15,1,0
2024,2,15,2,0
2024,2,15,3,0
2024,2,15,4,0
2024,2,15,5,0
2024,2,15,6,0
2024,2,15,7,115.93
2024,2,15,8,495.57
2024,2,15,9,686.77
